strip,number,expected,category,color temp,lux,R,G,B,C,R_clear,G_clear,B_clear,R_gamma,G_gamma,B_gamma,H_360,H,S,V
4,4_1,2,blood,4901,6025,10446,9697,8045,28105,94.778,87.982,72.993,21.687,18.006,11.289,40.91,0.1136,0.234,94
4,4_1,4,pH,5420,3190,4381,4688,3807,13189,84.704,90.639,73.606,16.375,19.397,11.527,81.18,0.2255,0.1889,90
4,4_1,4,protein,5418,5343,8488,8422,7096,23839,90.794,90.088,75.904,19.48,19.103,12.448,60,0.1667,0.1667,90
4,4_1,4,glucose,3650,2670,5451,4382,3383,13252,104.89,84.32,65.097,27.943,16.191,8.479,29.23,0.0812,0.375,104
4,4_1,4,ketone,4750,2225,8172,5703,5633,19088,109.171,76.187,75.252,30.882,12.565,12.183,1.76,0.0049,0.3119,109
5,5_1,3,blood,4786,4207,4411,5295,3714,13422,83.803,100.598,70.561,15.944,25.172,10.372,94,0.2611,0.3,100
5,5_1,5,pH,7821,3423,6074,6170,5934,17836,86.84,88.212,84.838,17.427,18.124,16.44,90,0.25,0.0455,88
5,5_1,5,protein,5806,5596,9717,9378,8267,27013,91.728,88.527,78.04,19.984,18.287,13.342,46.15,0.1282,0.1429,91
5,5_1,5,glucose,3846,2603,5973,4661,3845,14254,106.855,83.384,68.786,29.27,15.745,9.732,23.68,0.0658,0.3585,106
5,5_1,5,ketone,5903,4105,9078,7871,7338,23789,97.309,84.371,78.658,23.165,16.215,13.608,18.95,0.0526,0.1959,97
6,6_1,4,blood,6249,3160,4745,5015,4392,14209,85.156,90.001,78.82,16.595,19.057,13.678,85,0.2361,0.1333,90
6,6_1,6,protein,7372,3435,4416,5292,4760,14510,77.607,93.002,83.653,13.158,20.686,15.872,142.5,0.3958,0.172,93
6,6_1,6,glucose,5112,3777,8440,7082,6367,21488,100.158,84.043,75.558,24.898,16.058,12.307,21.6,0.06,0.25,100
1,1_2,1,blood,2764,5202,10692,7880,5143,23899,114.083,84.079,54.875,34.474,16.075,5.532,30,0.0833,0.5263,114
1,1_2,1,pH,3035,3350,10813,7216,6187,23805,115.829,77.298,66.275,35.808,13.027,8.868,13.47,0.0374,0.4261,115
1,1_2,1,protein,4646,5691,10942,9574,8017,28228,98.845,86.488,72.422,24.09,17.251,11.069,32.31,0.0897,0.2653,98
1,1_2,1,glucose,8704,3852,6082,6716,6522,19200,80.777,89.197,86.62,14.543,18.634,17.318,160,0.4444,0.1011,89
1,1_2,1,ketone,5466,5849,11600,10385,9258,30917,95.676,85.654,76.359,22.205,16.839,12.635,28.42,0.0789,0.2,95
2,2_2,2,pH,4457,5720,12066,10061,8528,30283,101.603,84.719,71.811,25.805,16.383,10.837,26,0.0722,0.297,101
2,2_2,2,protein,3616,5613,8455,7680,5142,21357,100.952,91.698,61.395,25.394,19.968,7.324,46.15,0.1282,0.39,100
2,2_2,2,glucose,5752,5356,9430,9021,7953,26095,92.15,88.153,77.717,20.215,18.094,13.205,44,0.1222,0.163,92
2,2_2,2,ketone,3277,3222,10385,7046,6186,23361,113.359,76.912,67.524,33.929,12.865,9.292,11.74,0.0326,0.4071,113
3,3_2,3,pH,3312,4114,7256,5996,4090,17415,106.246,87.797,59.888,28.855,17.912,6.883,35.74,0.0993,0.4434,106
3,3_2,3,protein,4410,5941,9523,8922,6898,25093,96.775,90.667,70.099,22.848,19.412,10.203,46.15,0.1282,0.2708,96
3,3_2,3,glucose,4427,3784,5343,5328,3949,14416,94.511,94.245,69.853,21.535,21.384,10.113,60,0.1667,0.266,94
3,3_2,3,ketone,3890,3493,10275,7403,6634,23692,110.591,79.679,71.403,31.896,14.054,10.684,12.31,0.0342,0.3545,110
4,4_2,2,blood,3751,5297,7297,6992,4604,19231,96.757,92.713,61.048,22.837,20.525,7.221,53.14,0.1476,0.3646,96
4,4_2,4,pH,5581,4375,6943,6942,5913,19689,89.922,89.909,76.582,19.015,19.008,12.728,60,0.1667,0.1461,89
4,4_2,4,protein,5579,5754,9958,9540,8293,27499,92.341,88.465,76.902,20.32,18.254,12.861,45,0.125,0.1739,92
4,4_2,4,glucose,3969,3193,6395,5293,4215,15792,103.263,85.468,68.061,26.872,16.748,9.477,29.14,0.081,0.3398,103
4,4_2,4,ketone,5442,4069,10380,8365,7875,26066,101.546,81.834,77.04,25.769,15.023,12.919,10,0.0278,0.2376,101
5,5_2,3,blood,4774,4369,4445,5427,3762,13593,83.387,101.809,70.574,15.746,25.936,10.376,94.84,0.2634,0.3069,101
5,5_2,5,pH,7633,3567,6197,6334,6036,18175,86.946,88.868,84.687,17.481,18.463,16.367,90,0.25,0.0455,88
5,5_2,5,protein,5795,5745,9926,9599,8447,27577,91.784,88.76,78.108,20.015,18.407,13.371,46.15,0.1282,0.1429,91
5,5_2,5,glucose,3744,2588,5918,4594,3745,13954,108.147,83.952,68.437,30.163,16.015,9.609,22.5,0.0625,0.3704,108
5,5_2,5,ketone,5865,4240,9308,8086,7515,24355,97.456,84.661,78.683,23.252,16.355,13.619,18.95,0.0526,0.1959,97
6,6_2,4,blood,6320,2983,4330,4673,4080,13212,83.572,90.192,78.747,15.834,19.158,13.646,95,0.2639,0.1333,90
6,6_2,6,protein,7459,3418,4212,5191,4655,14101,76.169,93.873,84.18,12.557,21.173,16.124,148.24,0.4118,0.1828,93
6,6_2,6,glucose,4940,3465,7951,6555,5874,19986,101.446,83.635,74.946,25.706,15.864,12.059,20,0.0556,0.2673,101
1,1_3,1,blood,3339,5778,11468,9085,6610,27119,107.834,85.426,62.154,29.945,16.727,7.553,30.67,0.0852,0.4206,107
1,1_3,1,pH,4430,4990,11778,9389,8205,28940,103.78,82.73,72.297,27.21,15.438,11.021,19.35,0.0538,0.301,103
1,1_3,1,protein,3361,5828,9287,8035,5245,22683,104.404,90.329,58.964,27.62,19.231,6.621,41.74,0.1159,0.4423,104
1,1_3,1,glucose,7124,5167,9013,9066,8493,26313,87.345,87.859,82.306,17.682,17.943,15.241,60,0.1667,0.0575,87
1,1_3,1,ketone,5153,5066,10367,9040,7974,27326,96.742,84.359,74.412,22.829,16.21,11.845,27.27,0.0758,0.2292,96
2,2_3,2,pH,3030,4626,11698,8329,6451,26125,114.181,81.297,62.967,34.548,14.779,7.802,21.92,0.0609,0.4561,114
2,2_3,2,protein,4752,6152,11062,10023,8302,29086,96.982,87.873,72.785,22.97,17.95,11.208,37.5,0.1042,0.25,96
2,2_3,2,glucose,5601,3958,6064,6178,5225,17274,89.517,91.2,77.132,18.802,19.698,12.958,68.57,0.1905,0.1538,91
2,2_3,2,ketone,4857,5220,11949,9826,8757,30083,101.286,83.291,74.229,25.604,15.701,11.773,20,0.0556,0.2673,101
3,3_3,3,pH,3213,4012,6998,5751,3815,16627,107.325,88.2,58.509,29.593,18.118,6.494,36.73,0.102,0.4579,107
3,3_3,3,protein,4190,5732,8804,8294,6149,23021,97.521,91.871,68.112,23.291,20.063,9.495,47.59,0.1322,0.299,97
3,3_3,3,glucose,5405,5736,10318,9635,8363,27946,94.149,87.917,76.31,21.329,17.973,12.615,36.67,0.1019,0.1915,94
3,3_3,3,ketone,3590,3114,9939,6885,6184,22462,112.833,78.162,70.204,33.537,13.395,10.241,11.43,0.0317,0.375,112
4,4_3,2,blood,3751,5177,7175,6856,4528,18919,96.708,92.409,61.031,22.809,20.357,7.216,53.14,0.1476,0.3646,96
4,4_3,4,pH,5581,4574,7444,7350,6298,20982,90.469,89.327,76.541,19.306,18.702,12.711,55.71,0.1548,0.1556,90
4,4_3,4,protein,5586,5678,9906,9456,8239,27312,92.488,88.286,76.924,20.401,18.162,12.87,45,0.125,0.1739,92
4,4_3,4,glucose,4177,3452,6835,5757,4666,17103,101.908,85.835,69.568,25.999,16.928,10.011,30,0.0833,0.3168,101
4,4_3,4,ketone,5487,4344,10565,8687,8112,26875,100.245,82.425,76.97,24.951,15.297,12.89,15,0.0417,0.24,100
5,5_3,3,blood,4777,4308,4389,5355,3715,13459,83.156,101.458,70.386,15.638,25.713,10.308,94.84,0.2634,0.3069,101
5,5_3,5,pH,7873,3383,5838,6025,5780,17285,86.126,88.885,85.27,17.072,18.472,16.651,100,0.2778,0.0341,88
5,5_3,5,protein,5777,5742,9819,9537,8365,27336,91.595,88.965,78.032,19.912,18.513,13.339,46.15,0.1282,0.1429,91
5,5_3,5,glucose,3721,2540,5856,4526,3692,13800,108.209,83.633,68.222,30.206,15.863,9.533,22.5,0.0625,0.3704,108
5,5_3,5,ketone,5887,4149,9188,7958,7416,24011,97.578,84.515,78.759,23.325,16.284,13.652,18.95,0.0526,0.1959,97
6,6_3,4,blood,5834,5238,9566,9021,8053,26487,92.095,86.848,77.529,20.185,17.432,13.125,36,0.1,0.163,92
6,6_3,6,protein,6239,5070,8476,8470,7578,24307,88.92,88.857,79.499,18.49,18.457,13.975,60,0.1667,0.1023,88
6,6_3,6,glucose,3224,1343,4688,3108,2788,10541,113.409,75.186,67.445,33.967,12.156,9.264,10.43,0.029,0.4071,113
1,1_4,1,blood,4391,6215,12159,10419,8583,30993,100.04,85.724,70.618,24.824,16.873,10.393,30,0.0833,0.3,100
1,1_4,1,pH,1660,1743,9708,5021,4140,18746,132.057,68.3,56.316,49.698,9.561,5.902,9.47,0.0263,0.5758,132
1,1_4,1,protein,4142,6314,10880,9697,7458,27891,99.473,88.657,68.187,24.474,18.354,9.521,38.71,0.1075,0.3131,99
1,1_4,1,glucose,10382,3411,4987,5957,5973,16965,74.959,89.539,89.78,12.064,18.814,18.94,180,0.5,0.1685,89
1,1_4,1,ketone,5320,5566,11075,9843,8709,29381,96.121,85.428,75.586,22.464,16.728,12.318,28.57,0.0794,0.2188,96
2,2_4,2,pH,2378,3879,11111,7139,5166,23315,121.523,78.08,56.501,40.372,13.36,5.951,20.31,0.0564,0.5372,121
2,2_4,2,protein,4466,6265,10661,9749,7735,27907,97.415,89.081,70.679,23.227,18.574,10.415,42.22,0.1173,0.2784,97
2,2_4,2,glucose,5628,3640,5361,5581,4684,15532,88.015,91.627,76.901,18.023,19.93,12.861,72,0.2,0.1648,91
2,2_4,2,ketone,4330,4495,11373,8798,7786,27566,105.206,81.386,72.025,28.154,14.819,10.918,16.36,0.0455,0.3143,105
3,3_4,3,pH,4455,5443,10010,8838,7182,25779,99.017,87.423,71.043,24.194,17.722,10.55,34.29,0.0952,0.2828,99
3,3_4,3,protein,3688,5221,7282,6898,4511,18719,99.199,93.968,61.451,24.306,21.227,7.341,50.53,0.1404,0.3838,99
3,3_4,3,glucose,4884,4655,7457,7180,5815,20106,94.575,91.062,73.75,21.572,19.624,11.584,51.43,0.1429,0.2234,94
3,3_4,3,ketone,5177,5229,11430,9703,8709,29385,99.188,84.202,75.576,24.299,16.134,12.314,22.5,0.0625,0.2424,99
4,4_4,2,blood,3716,5090,7042,6713,4398,18583,96.632,92.117,60.35,22.764,20.197,7.017,53.33,0.1481,0.375,96
4,4_4,4,pH,5549,4593,7506,7386,6322,21135,90.562,89.114,76.277,19.356,18.591,12.601,55.71,0.1548,0.1556,90
4,4_4,4,protein,5591,5649,9937,9450,8252,27359,92.618,88.079,76.913,20.473,18.056,12.866,45,0.125,0.1739,92
4,4_4,4,glucose,4227,3483,6933,5844,4768,17443,101.354,85.434,69.704,25.647,16.731,10.06,30,0.0833,0.3168,101
4,4_4,4,ketone,5490,4339,10490,8647,8065,26782,99.879,82.331,76.789,24.724,15.253,12.814,15.65,0.0435,0.2323,99
5,5_4,3,blood,4916,4649,5353,6140,4514,15865,86.039,98.689,72.554,17.029,23.994,11.12,87.69,0.2436,0.2653,98
5,5_4,5,pH,6635,4630,8357,8144,7529,23555,90.471,88.165,81.507,19.307,18.1,14.874,46.67,0.1296,0.1,90
5,5_4,5,protein,5651,4371,5132,6061,4822,15811,82.769,97.752,77.769,15.456,23.429,13.227,105,0.2917,0.2062,97
5,5_4,5,glucose,4580,3753,7853,6610,5643,19662,101.847,85.726,73.185,25.96,16.874,11.363,25.71,0.0714,0.2772,101
5,5_4,5,ketone,6644,1069,4529,3166,3357,10507,109.917,76.837,81.473,31.412,12.834,14.858,350.91,0.9747,0.3028,109
6,6_4,4,blood,6411,2579,3548,3957,3435,11215,80.672,89.972,78.103,14.496,19.042,13.369,109.09,0.303,0.1236,89
6,6_4,6,protein,7555,3276,3950,4947,4440,13444,74.922,93.833,84.216,12.049,21.151,16.141,151.58,0.4211,0.2043,93
6,6_4,6,glucose,4713,3000,7231,5793,5186,17896,103.034,82.544,73.895,26.724,15.352,11.641,18,0.05,0.2913,103
1,1_5,1,blood,3982,6138,12086,10080,7989,30008,102.704,85.657,67.888,26.51,16.84,9.417,30.86,0.0857,0.3431,102
1,1_5,1,pH,1633,1455,9563,4637,3769,17734,137.508,66.676,54.195,54.987,9.003,5.362,8.67,0.0241,0.6058,137
1,1_5,1,protein,3843,6125,10229,9048,6606,25746,101.313,89.615,65.429,25.621,18.854,8.587,40,0.1111,0.3564,101
1,1_5,1,glucose,6248,5633,10253,9827,8947,28735,90.987,87.207,79.397,19.583,17.612,13.93,43.64,0.1212,0.1222,90
1,1_5,1,ketone,5207,5219,10564,9276,8187,27907,96.528,84.759,74.809,22.703,16.402,12.004,27.27,0.0758,0.2292,96
2,2_5,2,pH,4524,5750,11883,10025,8491,30012,100.965,85.178,72.145,25.402,16.606,10.964,27.86,0.0774,0.28,100
2,2_5,2,protein,3707,5677,8649,7880,5400,21865,100.869,91.9,62.977,25.341,20.079,7.805,45.79,0.1272,0.38,100
2,2_5,2,glucose,5771,5555,9911,9428,8345,27324,92.494,87.986,77.879,20.404,18.009,13.274,40,0.1111,0.163,92
2,2_5,2,ketone,3378,3267,10222,7034,6170,23111,112.787,77.611,68.078,33.503,13.16,9.483,12.27,0.0341,0.3929,112
3,3_5,3,pH,3594,4402,7830,6613,4773,19190,104.046,87.875,63.424,27.385,17.951,7.945,35.12,0.0976,0.3942,104
3,3_5,3,protein,4735,6145,10420,9689,7876,27656,96.077,89.337,72.62,22.438,18.707,11.145,42.5,0.1181,0.25,96
3,3_5,3,glucose,4485,3866,5577,5523,4154,15024,94.658,93.741,70.505,21.619,21.099,10.351,57.5,0.1597,0.2553,94
3,3_5,3,ketone,4437,4198,10884,8389,7526,26204,105.916,81.636,73.238,28.631,14.933,11.384,15,0.0417,0.3048,105
4,4_5,2,blood,5188,6116,11027,10189,8725,29782,94.416,87.24,74.705,21.481,17.629,11.962,39,0.1083,0.2128,94
4,4_5,4,pH,5457,3660,5352,5550,4593,15662,87.138,90.362,74.781,17.578,19.249,11.993,71.25,0.1979,0.1778,90
4,4_5,4,protein,5484,5754,9638,9343,8011,26745,91.893,89.081,76.381,20.075,18.574,12.644,52,0.1444,0.1648,91
4,4_5,4,glucose,3759,2840,5838,4717,3702,14319,103.966,84.003,65.927,27.332,16.039,8.752,30,0.0833,0.3689,103
4,4_5,4,ketone,5180,3122,9290,7020,6751,22638,104.645,79.075,76.045,27.78,13.789,12.506,6.43,0.0179,0.2692,104
5,5_5,3,blood,5482,5880,9833,9539,8175,27269,91.951,89.202,76.447,20.106,18.637,12.672,52,0.1444,0.1648,91
5,5_5,5,pH,10937,2251,3670,4156,4258,11945,78.347,88.722,90.899,13.474,18.387,19.536,190,0.5278,0.1333,90
5,5_5,5,protein,5731,5533,8775,8833,7595,24849,90.049,90.644,77.94,19.082,19.399,13.3,60,0.1667,0.1444,90
5,5_5,5,glucose,3310,2088,5085,3748,2974,11588,111.898,82.477,65.444,32.847,15.32,8.593,22.17,0.0616,0.4144,111
5,5_5,5,ketone,5933,2764,7061,5775,5545,17828,100.996,82.602,79.312,25.421,15.378,13.893,8.57,0.0238,0.21,100
6,6_5,4,blood,5883,5098,9130,8706,7759,25403,91.649,87.392,77.886,19.941,17.706,13.277,42.86,0.119,0.1538,91
6,6_5,6,protein,6364,4934,8020,8166,7310,23238,88.007,89.609,80.216,18.019,18.85,14.292,66.67,0.1852,0.1011,89
6,6_5,6,glucose,3313,1434,4776,3221,2867,10620,114.678,77.34,68.84,34.925,13.045,9.751,11.74,0.0326,0.4035,114
1,1_6,1,blood,4005,6183,12143,10153,8060,30170,102.634,85.814,68.124,26.465,16.918,9.499,30,0.0833,0.3333,102
1,1_6,1,pH,1625,1537,9854,4820,3922,18333,137.063,67.043,54.552,54.543,9.127,5.451,9.4,0.0261,0.6058,137
1,1_6,1,protein,3865,6166,10301,9126,6686,25943,101.251,89.702,65.718,25.582,18.899,8.683,40,0.1111,0.3564,101
1,1_6,1,glucose,6207,5633,10235,9804,8906,28656,91.078,87.242,79.251,19.632,17.63,13.866,40,0.1111,0.1319,91
1,1_6,1,ketone,5207,5246,10596,9313,8215,27986,96.548,84.857,74.853,22.714,16.45,12.021,27.27,0.0758,0.2292,96
2,2_6,2,pH,3061,4525,11464,8180,6372,25834,113.158,80.742,62.896,33.779,14.528,7.78,21.18,0.0588,0.4513,113
2,2_6,2,protein,4776,5980,10916,9836,8198,28695,97.006,87.408,72.852,22.984,17.714,11.234,36,0.1,0.2577,97
2,2_6,2,glucose,5630,3910,6127,6179,5264,17532,89.116,89.873,76.564,18.592,18.989,12.72,60,0.1667,0.1461,89
2,2_6,2,ketone,4877,5128,11777,9680,8644,29769,100.881,82.918,74.044,25.349,15.526,11.699,18.46,0.0513,0.26,100
3,3_6,3,pH,4900,5725,10634,9566,8089,27977,96.925,87.191,73.728,22.937,17.604,11.575,36.52,0.1014,0.2396,96
3,3_6,3,protein,3793,5232,7542,7100,4817,19534,98.454,92.685,62.882,23.852,20.51,7.776,50,0.1389,0.3673,98
3,3_6,3,glucose,5229,5314,9180,8670,7364,24879,94.091,88.864,75.478,21.297,18.461,12.274,41.05,0.114,0.2021,94
3,3_6,3,ketone,3069,2498,9396,6066,5500,20487,116.951,75.503,68.458,36.682,12.284,9.616,8.75,0.0243,0.4138,116
4,4_6,2,blood,3561,4757,6340,6062,3760,16679,96.93,92.68,57.485,22.94,20.507,6.213,53.85,0.1496,0.4062,96
4,4_6,4,pH,5364,4026,6264,6265,5231,17824,89.616,89.631,74.838,18.854,18.862,12.015,60,0.1667,0.1685,89
4,4_6,4,protein,5536,5647,9809,9364,8126,27064,92.421,88.229,76.564,20.364,18.133,12.72,45,0.125,0.1739,92
4,4_6,4,glucose,3861,2915,5973,4866,3860,14873,102.408,83.428,66.18,26.319,15.766,8.836,28.33,0.0787,0.3529,102
4,4_6,4,ketone,5380,3772,9912,7882,7447,24979,101.187,80.464,76.023,25.542,14.403,12.497,9.6,0.0267,0.2475,101
5,5_6,3,blood,4762,4262,4331,5287,3657,13356,82.69,100.942,69.821,15.419,25.388,10.102,94.84,0.2634,0.31,100
5,5_6,5,pH,8110,3278,5657,5872,5674,16871,85.504,88.753,85.761,16.765,18.404,16.891,120,0.3333,0.0341,88
5,5_6,5,protein,5783,5779,9905,9612,8438,27577,91.59,88.881,78.025,19.909,18.47,13.336,46.15,0.1282,0.1429,91
5,5_6,5,glucose,3648,2421,5665,4335,3527,13284,108.745,83.215,67.704,30.582,15.665,9.354,23.41,0.065,0.3796,108
5,5_6,5,ketone,5923,3917,8840,7604,7124,23037,97.851,84.17,78.857,23.489,16.119,13.694,18.95,0.0526,0.1959,97
6,6_6,4,blood,5839,5020,9059,8593,7653,25182,91.734,87.015,77.496,19.988,17.516,13.111,42.86,0.119,0.1538,91
6,6_6,6,protein,6274,4937,8167,8215,7347,23539,88.474,88.994,79.591,18.259,18.528,14.015,60,0.1667,0.1023,88
6,6_6,6,glucose,3095,1257,4517,2951,2642,10109,113.942,74.439,66.645,34.367,11.856,8.992,10.21,0.0284,0.4159,113
1,1_7,1,blood,4070,6161,12083,10150,8111,30160,102.161,85.817,68.578,26.161,16.919,9.658,30,0.0833,0.3333,102
1,1_7,1,pH,1620,1554,9637,4780,3910,18099,135.777,67.346,55.089,53.273,9.23,5.586,9,0.025,0.5926,135
1,1_7,1,protein,3987,6226,10537,9366,7016,26735,100.503,89.333,66.919,25.112,18.706,9.085,40.59,0.1127,0.34,100
1,1_7,1,glucose,6071,5665,10305,9820,8865,28707,91.538,87.23,78.746,19.881,17.624,13.646,41.54,0.1154,0.1429,91
1,1_7,1,ketone,5231,5297,10659,9393,8290,28167,96.497,85.036,75.051,22.685,16.537,12.101,28.57,0.0794,0.2188,96
2,2_7,2,pH,4389,5670,12052,9983,8435,30064,102.224,84.675,71.545,26.201,16.362,10.737,25.16,0.0699,0.3039,102
2,2_7,2,protein,3618,5604,8428,7663,5129,21271,101.036,91.865,61.487,25.447,20.059,7.352,45,0.125,0.396,101
2,2_7,2,glucose,5748,5284,9245,8870,7807,25586,92.139,88.402,77.808,20.209,18.222,13.243,44,0.1222,0.163,92
2,2_7,2,ketone,3271,3192,10278,6973,6116,23079,113.562,77.045,67.576,34.082,12.921,9.309,13.04,0.0362,0.4071,113
3,3_7,3,pH,3174,3880,6854,5582,3696,16329,107.035,87.171,57.718,29.393,17.594,6.277,36,0.1,0.4673,107
3,3_7,3,protein,4275,5712,8983,8418,6364,23612,97.013,90.911,68.729,22.989,19.542,9.711,45.52,0.1264,0.299,97
3,3_7,3,glucose,5426,5746,10375,9679,8420,28140,94.017,87.709,76.301,21.254,17.867,12.611,36.67,0.1019,0.1915,94
3,3_7,3,ketone,3607,3067,9931,6859,6195,22513,112.486,77.69,70.169,33.28,13.193,10.228,10,0.0278,0.375,112
4,4_7,2,blood,4171,5506,8413,7935,5856,22358,95.953,90.501,66.79,22.366,19.323,9.041,49.66,0.1379,0.3053,95
4,4_7,4,pH,5564,5456,9670,9153,7994,26553,92.865,87.9,76.77,20.61,17.964,12.806,41.25,0.1146,0.1739,92
4,4_7,4,protein,5149,4483,5925,6383,5011,17416,86.752,93.458,73.37,17.384,20.94,11.435,81,0.225,0.2151,93
4,4_7,4,glucose,5017,4786,9368,8279,7159,24561,97.262,85.955,74.327,23.136,16.987,11.812,28.7,0.0797,0.2371,97
4,4_7,4,ketone,2635,722,6744,3741,4089,14210,121.022,67.133,73.378,39.958,9.157,11.438,353.33,0.9815,0.4463,121
5,5_7,3,blood,5137,5000,6823,7221,5714,19666,88.471,93.631,74.091,18.257,21.037,11.718,75.79,0.2105,0.2043,93
5,5_7,5,pH,6130,5133,9339,8917,8073,25941,91.802,87.654,79.358,20.025,17.839,13.913,40,0.1111,0.1319,91
5,5_7,5,protein,5690,4537,5930,6603,5409,17863,84.653,94.26,77.215,16.351,21.392,12.993,95.29,0.2647,0.1809,94
5,5_7,5,glucose,5102,4636,9487,8255,7259,24658,98.11,85.369,75.069,23.644,16.699,12.108,26.09,0.0725,0.2347,98
5,5_7,5,ketone,6842,1101,4678,3278,3489,11091,107.555,75.367,80.218,29.752,12.229,14.293,350.62,0.974,0.2991,107
6,6_7,4,blood,6430,2164,2715,3193,2724,8986,77.045,90.609,77.3,12.921,19.381,13.028,120,0.3333,0.1444,90
6,6_7,6,protein,5731,5328,9814,9182,8167,26881,93.098,87.103,77.474,20.739,17.56,13.102,37.5,0.1042,0.172,93
6,6_7,6,glucose,4097,2085,5772,4283,3826,13778,106.827,79.269,70.811,29.251,13.874,10.464,15,0.0417,0.3396,106
1,1_8,1,blood,2727,5182,10530,7752,4965,23456,114.476,84.275,53.977,34.772,16.169,5.308,30.49,0.0847,0.5351,114
1,1_8,1,pH,2638,2957,10555,6674,5670,22539,119.416,75.508,64.149,38.645,12.286,8.174,12,0.0333,0.4622,119
1,1_8,1,protein,4622,6133,11238,10029,8262,29272,97.899,87.367,71.974,23.517,17.693,10.899,36.92,0.1026,0.268,97
1,1_8,1,glucose,9456,3670,5635,6425,6341,18385,78.157,89.115,87.95,13.393,18.591,17.99,169.09,0.4697,0.1236,89
1,1_8,1,ketone,5491,5927,11704,10509,9372,31293,95.373,85.636,76.37,22.03,16.83,12.64,28.42,0.0789,0.2,95
2,2_8,2,pH,2013,3444,10851,6443,4375,21696,127.535,75.727,51.421,45.553,12.375,4.702,18.95,0.0526,0.5984,127
2,2_8,2,protein,3928,5800,9155,8357,6036,23478,99.435,90.767,65.558,24.45,19.465,8.63,44.12,0.1225,0.3434,99
2,2_8,2,glucose,5710,5589,10106,9530,8432,27758,92.839,87.548,77.461,20.595,17.785,13.096,40,0.1111,0.163,92
2,2_8,2,ketone,3558,3468,10442,7340,6458,24010,110.9,77.955,68.588,32.119,13.306,9.662,12.86,0.0357,0.3818,110
3,3_8,3,pH,3186,3897,6875,5609,3721,16386,106.989,87.288,57.906,29.362,17.653,6.328,36.73,0.102,0.4623,106
3,3_8,3,protein,4142,5608,8600,8081,5949,22490,97.51,91.625,67.452,23.284,19.929,9.267,48,0.1333,0.3093,97
3,3_8,3,glucose,5397,5706,10219,9559,8284,27713,94.03,87.957,76.225,21.262,17.993,12.58,36.67,0.1019,0.1915,94
3,3_8,3,ketone,3441,2923,9853,6673,6025,22081,113.786,77.062,69.579,34.25,12.928,10.015,10.91,0.0303,0.3894,113
4,4_8,2,blood,4612,5074,8365,7828,6237,22242,95.903,89.746,71.506,22.337,18.923,10.722,45,0.125,0.2526,95
4,4_8,4,pH,5565,2676,3488,3867,3135,10437,85.22,94.48,76.595,16.626,21.517,12.733,90,0.25,0.1915,94
4,4_8,4,protein,5216,4089,5902,6090,4928,16686,90.196,93.069,75.311,19.161,20.723,12.206,70,0.1944,0.1935,93
4,4_8,4,glucose,5145,4365,8427,7535,6547,22090,97.279,86.982,75.577,23.146,17.499,12.314,30,0.0833,0.2268,97
4,4_8,4,ketone,3778,1149,6115,3792,3895,13266,117.543,72.89,74.87,37.148,11.249,12.028,357.33,0.9926,0.3846,117
5,5_8,3,blood,5270,4774,7048,7208,5894,19790,90.816,92.877,75.946,19.491,20.616,12.465,67.06,0.1863,0.1848,92
5,5_8,5,pH,12417,1670,2463,3026,3151,8344,75.271,92.477,96.297,12.19,20.395,22.567,191.43,0.5317,0.2188,96
